feature,importance
num__temperature_c,0.3004232707957482
num__hour,0.289493053314566
num__solar_radiation_mj_per_m2,0.08821931078190588
num__humidity_pct,0.058232539838756765
cat__functioning_day_Yes,0.04679989562194591
num__rainfall_mm,0.04322806971425812
cat__functioning_day_No,0.04211684315524836
num__dew_point_temperature_c,0.023114498610993003
num__weekday,0.021946648881083924
cat__seasons_Autumn,0.015066929660040387
num__month,0.014765864959850878
num__is_weekend,0.01308708512889605
cat__seasons_Winter,0.011267774704893086
num__day,0.00871597982435816
num__visibility_10m,0.008352338255835373
num__wind_speed_m_per_s,0.007217052708863374
cat__holiday_No Holiday,0.002068569916888567
cat__seasons_Spring,0.002009015983146267
cat__holiday_Holiday,0.0019143798802799287
cat__seasons_Summer,0.0014091492260748075
num__snowfall_cm,0.0005517290363671198
