feature,importance
num__temperature_c,0.29895912710133
num__hour,0.28688975141122186
num__solar_radiation_mj_per_m2,0.08747627061101608
num__humidity_pct,0.06795773896142278
cat__functioning_day_No,0.04994227443486599
cat__functioning_day_Yes,0.040779847743242593
num__rainfall_mm,0.037108432241654915
num__dew_point_temperature_c,0.025116103406269536
num__weekday,0.021602042307427707
cat__seasons_Autumn,0.015722384630304037
num__month,0.014598556154475374
num__is_weekend,0.013188297618585412
cat__seasons_Winter,0.008877654364626182
num__visibility_10m,0.008580390983824274
num__day,0.008320886314168418
num__wind_speed_m_per_s,0.007699151895488107
cat__seasons_Spring,0.0020154234960216887
cat__holiday_No Holiday,0.0018387129246638903
cat__holiday_Holiday,0.0016845581100264056
cat__seasons_Summer,0.0010681616065257645
num__snowfall_cm,0.0005742336828391192
