index,count,mean,std,min,25%,50%,75%,max
hour,8760.0,11.5,6.922581688234342,0.0,5.75,11.5,17.25,23.0
temperature_c,8760.0,12.882922374429223,11.944825230027947,-17.8,3.5,13.7,22.5,39.4
humidity_pct,8760.0,58.226255707762554,20.36241330156561,0.0,42.0,57.0,74.0,98.0
wind_speed_m_per_s,8760.0,1.7249086757990868,1.036299993402556,0.0,0.9,1.5,2.3,7.4
visibility_10m,8760.0,1436.825799086758,608.2987119840188,27.0,940.0,1698.0,2000.0,2000.0
dew_point_temperature_c,8760.0,4.073812785388128,13.06036933814979,-30.6,-4.7,5.1,14.8,27.2
solar_radiation_mj_per_m2,8760.0,0.5691107305936073,0.8687462422391532,0.0,0.0,0.01,0.93,3.52
rainfall_mm,8760.0,0.14868721461187215,1.1281929687321486,0.0,0.0,0.0,0.0,35.0
snowfall_cm,8760.0,0.07506849315068492,0.4367461811249922,0.0,0.0,0.0,0.0,8.8
month,8760.0,6.526027397260274,3.4480481340692433,1.0,4.0,7.0,10.0,12.0
day,8760.0,15.72054794520548,8.796749115212304,1.0,8.0,16.0,23.0,31.0
weekday,8760.0,3.0027397260273974,1.9980563179572515,0.0,1.0,3.0,5.0,6.0
is_weekend,8760.0,0.28493150684931506,0.45140758138621256,0.0,0.0,0.0,1.0,1.0
rented_bike_count,8760.0,704.6020547945205,644.9974677392156,0.0,191.0,504.5,1065.25,3556.0
